epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4629,1.62979,3.41615,1.64942,0.00382,0.95122,0.31389,0.14872,1.60121,3.41913,1.61145,0.00022,0.00022,0.00022
2,53.1819,1.43992,2.69261,1.50381,0.00382,0.95122,0.43899,0.21124,1.54859,3.19731,1.53956,0.000450892,0.000450892,0.000450892
3,79.2392,1.46264,2.40641,1.50454,0.00392,0.97561,0.42504,0.20381,1.49498,3.16234,1.57718,0.00067228,0.00067228,0.00067228
4,104.925,1.45438,2.34793,1.45251,0.77219,0.33104,0.49364,0.26794,1.51627,3.0089,1.6665,0.000884164,0.000884164,0.000884164
5,130.457,1.3831,2.21553,1.42123,0.3994,0.34146,0.27425,0.12016,1.67198,3.23626,1.73125,0.00108654,0.00108654,0.00108654
6,155.465,1.4284,2.33587,1.4209,0.59622,0.28831,0.34837,0.13707,2.26109,3.40713,2.10841,0.00127942,0.00127942,0.00127942
7,180.487,1.49573,2.21743,1.51409,0.20432,0.43902,0.17744,0.08815,1.99186,3.14737,2.22901,0.00146279,0.00146279,0.00146279
8,205.296,1.4445,2.19808,1.44426,0.27461,0.12195,0.11878,0.0431,1.97135,3.8502,2.26912,0.00163666,0.00163666,0.00163666
9,230.948,1.41333,2.02473,1.46842,0.1477,0.21951,0.09518,0.02642,2.11959,4.79965,2.54653,0.0016832,0.0016832,0.0016832
10,256.119,1.43925,2.09761,1.49493,0.15566,0.34146,0.19111,0.08903,1.90096,4.01704,2.26143,0.0016436,0.0016436,0.0016436
11,280.984,1.43302,2.18359,1.43482,0.59838,0.65854,0.60635,0.29799,1.81654,2.57358,1.83571,0.001604,0.001604,0.001604
12,305.616,1.52181,1.98199,1.45688,0.62124,0.53659,0.61117,0.26117,1.80373,3.06587,2.12225,0.0015644,0.0015644,0.0015644
13,330.317,1.47458,1.93538,1.4194,0.54184,0.60976,0.6073,0.31711,1.34071,2.7619,1.52146,0.0015248,0.0015248,0.0015248
14,355.249,1.44417,1.98849,1.5011,0.56837,0.57823,0.61117,0.31247,1.45763,2.82646,1.70713,0.0014852,0.0014852,0.0014852
15,380.243,1.39061,1.91721,1.4227,0.64508,0.46341,0.57609,0.3054,1.39777,3.01329,1.57625,0.0014456,0.0014456,0.0014456
16,405.251,1.25133,1.78446,1.35872,0.54243,0.46341,0.52596,0.31008,1.27576,3.46096,1.50313,0.001406,0.001406,0.001406
17,431.068,1.40058,1.80747,1.39802,0.53581,0.6195,0.53429,0.26574,1.31819,2.35668,1.47042,0.0013664,0.0013664,0.0013664
18,456.075,1.22568,1.66487,1.33796,0.69772,0.63415,0.69859,0.42196,1.20681,1.74801,1.24725,0.0013268,0.0013268,0.0013268
